Text,Emotion,Severity,Category
my whole body shakes before big decisions.,Anxiety,High,Negative
i feel like i'm just existing.,Depression,Low,Negative
i hesitate to walk alone at night.,Fear,Low,Negative
i wish i could disappear.,Depression,High,Negative
i feel like i'm slowly disappearing from life.,Depression,Moderate,Negative
i avoid social events due to nervousness.,Anxiety,Moderate,Negative
i feel like i'm slowly disappearing from life.,Depression,Moderate,Negative
i experience physical tension from worry.,Anxiety,Moderate,Negative
it is becoming harder to pretend i am okay.,Depression,Moderate,Negative
i'm overwhelmed by complete hopelessness.,Depression,High,Negative
i hurt myself when rage overtakes me.,Anger,High,Negative
i missed someone a lot today.,Sad,Moderate,Negative
i get mildly frustrated with slow internet.,Anger,Low,Negative
i feel uneasy in crowded spaces.,Fear,Low,Negative
i'm overwhelmed by sadness i can't shake.,Sad,High,Negative
i had a rough conversation today.,Sad,Moderate,Negative
i feel somewhat blue.,Sad,Low,Negative
i double-check things more than i should.,Anxiety,Low,Negative
i wake up wishing i hadn't.,Depression,High,Negative
i feel like i'm losing control completely.,Anxiety,High,Negative
i feel a bit off today.,Sad,Low,Negative
my patience runs thin with repeated mistakes.,Anger,Moderate,Negative
small mistakes make me a little angry.,Anger,Low,Negative
i feel detached from reality due to anxiety.,Anxiety,High,Negative
nothing feels right anymore.,Sad,High,Negative
i feel like i'm in a bottomless pit.,Depression,High,Negative
i wake up from nightmares drenched in sweat.,Fear,High,Negative
strangers staring makes me anxious.,Fear,Moderate,Negative
i feel slightly disappointed.,Sad,Low,Negative
i keep worrying about my assignments.,Anxiety,Moderate,Negative
i wake up wishing i hadn't.,Depression,High,Negative
i get frightened when people raise voices.,Fear,Moderate,Negative
everything feels like it's falling apart.,Sad,High,Negative
my anger builds when people are inconsiderate.,Anger,Moderate,Negative
i'm haunted by past traumatic experiences.,Fear,High,Negative
i fear disappointing others.,Fear,Moderate,Negative
i'm slightly discouraged.,Sad,Low,Negative
i feel like i'm losing control completely.,Anxiety,High,Negative
i feel empty inside.,Sad,Moderate,Negative
strangers staring makes me anxious.,Fear,Moderate,Negative
i feel like i'm in a bottomless pit.,Depression,High,Negative
i feel emotionally numb.,Depression,Low,Negative
deadlines make my heart race frequently.,Anxiety,Moderate,Negative
tears won't stop today.,Sad,High,Negative
i feel like a burden.,Sad,High,Negative
i sometimes overthink small things.,Anxiety,Low,Negative
traffic delays annoy me slightly.,Anger,Low,Negative
i wake up feeling stressed without reason.,Anxiety,Moderate,Negative
i no longer enjoy things i used to love.,Depression,Low,Negative
i feel completely broken inside.,Depression,High,Negative
i get mildly frustrated with slow internet.,Anger,Low,Negative
my hands tremble when i sense danger.,Fear,Moderate,Negative
i feel slightly deflated.,Sad,Low,Negative
i experience physical tension from worry.,Anxiety,Moderate,Negative
disorganization makes me quite angry.,Anger,Moderate,Negative
i feel slight tension before exams.,Anxiety,Low,Negative
i feel tense in social situations.,Anxiety,Low,Negative
i'm feeling mildly upset.,Sad,Low,Negative
i'm slightly uneasy in social settings.,Anxiety,Low,Negative
