Text,Category,Emotion,Severity
watched a feel-good movie. it lifted my spirits.,Positive,Happy,'
i felt appreciated for the little things i did.,Positive,Happy,'
i love teaching.,Positive,Happy,'
what are you doing?,Neutral,Neutral,'
i'm feeling mildly upset.,Negative,Sad,Low
every sound makes me jump with fear.,Negative,Fear,High
i find it hard to concentrate when worried.,Negative,Anxiety,Moderate
i punch walls when i lose control.,Negative,Anger,High
i'm drowning in overwhelming sorrow.,Negative,Sad,High
i am terrified of going outside alone.,Negative,Fear,High
i feel slightly deflated.,Negative,Sad,Low
"got a compliment at work, it made my day.",Positive,Happy,'
i had a rough conversation today.,Negative,Sad,Moderate
I feel sleepy,Neutral,Neutral,'
"tried a new recipe, and it turned out okay!",Positive,Happy,'
"i laughed so much today, it felt amazing.",Positive,Happy,'
so hurt i can't explain it.,Negative,Sad,High
i'm struggling to find a reason to get through the day.,Negative,Depression,Moderate
i experience physical tension from worry.,Negative,Anxiety,Moderate
i feel like i'm beyond saving.,Negative,Depression,High
i don't know how much longer i can keep going.,Negative,Depression,High
"i laughed so much today, it felt amazing.",Positive,Happy,'
this moment is perfect.,Positive,Happy,'
my hands get sweaty talking to strangers.,Negative,Anxiety,Moderate
life just hurts right now.,Negative,Sad,High
dark rooms make me uncomfortable.,Negative,Fear,Low
had a nice conversation with a friend today.,Positive,Happy,'
had a delicious meal and laughed a lot tonight.,Positive,Happy,'
she works in the marketing department.,Neutral,Neutral,'
i feel like i'm slowly fading from memory.,Negative,Depression,Moderate
everything feels right today.,Positive,Happy,'
i feel uncomfortable during casual conversations.,Negative,Anxiety,Low
they serve lunch until 3 pm.,Neutral,Neutral,'
i'm suffocating under the weight of sadness.,Negative,Sad,High
i'm consumed by hopelessness.,Negative,Depression,High
i feel breathless and dizzy during panic attacks.,Negative,Anxiety,High
"made progress on my goals, feels amazing.",Positive,Happy,'
i feel heated when my time is wasted.,Negative,Anger,Moderate
i'm somewhat afraid of spiders.,Negative,Fear,Low
got good feedback on something i worked hard on.,Positive,Happy,'
he drives to work daily.,Neutral,Neutral,'
i hesitate to make decisions due to fear.,Negative,Fear,Moderate
making phone calls stresses me out slightly.,Negative,Anxiety,Low
i sometimes overthink small things.,Negative,Anxiety,Low
it is becoming harder to pretend i am okay.,Negative,Depression,Moderate
i no longer enjoy things i used to love.,Negative,Depression,Low
my anger frightens even me sometimes.,Negative,Anger,High
i'm slightly discouraged.,Negative,Sad,Low
i find it hard to concentrate when worried.,Negative,Anxiety,Moderate
i worry about small details.,Negative,Anxiety,Low
the package was delivered yesterday.,Neutral,Neutral,'
i got the job! i am over the moon!,Positive,Happy,'
arguments leave me feeling worked up.,Negative,Anger,Moderate
i'm feeling a bit down today.,Negative,Sad,Low
i feel quite low after work.,Negative,Sad,Moderate
a kind message from a friend made my day.,Positive,Happy,'
i feel unsafe in unfamiliar places.,Negative,Fear,Moderate
life just hurts right now.,Negative,Sad,High
enjoyed peaceful moments with family.,Positive,Happy,'
i get defensive when criticized.,Negative,Anger,Moderate
i feel empty inside.,Negative,Sad,Moderate
repetitive sounds irritate me slightly.,Negative,Anger,Low
"everyone's around, but i still feel distant.",Negative,Depression,Low
my anger turns into destructive behavior.,Negative,Anger,High
i sometimes overthink small things.,Negative,Anxiety,Low
i have violent thoughts during fits of rage.,Negative,Anger,High
i can't control my rage anymore.,Negative,Anger,High
i feel somewhat blue.,Negative,Sad,Low
i felt truly connected with people today.,Positive,Happy,'
i'm afraid of making mistakes.,Negative,Fear,Moderate
i wake up feeling stressed without reason.,Negative,Anxiety,Moderate
she is reading a book.,Neutral,Neutral,'
i feel irritated by loud noises.,Negative,Anger,Low
i double-check things more than i should.,Negative,Anxiety,Low
i get worked up over injustice.,Negative,Anger,Moderate
confronting people gives me chills.,Negative,Fear,Moderate
i raise my voice when disrespected.,Negative,Anger,Moderate
i feel panic and can't breathe properly.,Negative,Anxiety,High
everything feels right today.,Positive,Happy,'
strangers staring makes me anxious.,Negative,Fear,Moderate
i often fear losing control in situations.,Negative,Fear,Moderate
i'm haunted by past traumatic experiences.,Negative,Fear,High
i'm overwhelmed by complete hopelessness.,Negative,Depression,High
i get upset when promises are broken.,Negative,Anger,Moderate
every part of me wants to disappear.,Negative,Depression,High
i feel frustrated when ignored.,Negative,Anger,Moderate
"had a pretty decent day today, can't complain.",Positive,Happy,'
i worry about being rejected.,Negative,Fear,Moderate
i feel mildly frustrated with technical issues.,Negative,Anger,Low
they serve lunch until 3 pm.,Neutral,Neutral,'
disorganization makes me quite angry.,Negative,Anger,Moderate
i'm somewhat disheartened.,Negative,Sad,Low
i feel breathless and dizzy during panic attacks.,Negative,Anxiety,High
